0,1
h:/Desktop_Files/CSE472/Project/Dataset\lines\h07\h07-054a\h07-054a-08.png,much as the total area so far completed .
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-031a\g06-031a-03.png,"mistaken , 1tho' I cannot but fear that the"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g07\g07-007a\g07-007a-10.png,"TABLE VALUE , AND TRAMPLED ON ' ."
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-003x\a01-003x-02.png,down the Foot-Griffiths resolution . Mr. Foot's line
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-000b\c03-000b-02.png,tomorrow . It has been produced and directed by
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-050c\g06-050c-05.png,"with a gentle and charming character , even-tempered"
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-081e\c03-081e-10.png,power .
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-003e\c03-003e-04.png,"characters to their background , which bring"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-018m\g06-018m-02.png,"winter . In late November , he was ' suffering as"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-050e\g06-050e-03.png,"told Hahnemann that he found Anglesey a strong , energetic"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-011a\g06-011a-04.png,is a great resource . Vesuvius seems to be tired ;
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-042e\g06-042e-01.png,"1960s , no cure has been found for the 6tic"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-050n\g06-050n-08.png,"and sedate , not easily irritated ,"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-018d\g06-018d-03.png,"usual ' , but hoped , he told Arthur , ' to find this"
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-081e\c03-081e-04.png,"a flawed but beautiful enigma , seen but"
h:/Desktop_Files/CSE472/Project/Dataset\lines\f07\f07-039a\f07-039a-02.png,clarifying the functions of the brain . It
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-037r\g06-037r-04.png,in the history of Anglesey's unceasing search for an
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-000c\c03-000c-00.png,The film version of Miss Shelagh Delaney's play
h:/Desktop_Files/CSE472/Project/Dataset\lines\f07\f07-101a\f07-101a-04.png,ABSOLUTELY LAUGH ; BUT ALL THE
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-113u\a01-113u-06.png,it was Labour which first put a ceiling
h:/Desktop_Files/CSE472/Project/Dataset\lines\f07\f07-076a\f07-076a-08.png,specifically national . The art and
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-047f\g06-047f-00.png,"This remarkable man of medicine , whom Sir Francis Burdett described"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-037o\g06-037o-09.png,remedies to which he had been subjected
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-043u\a01-043u-01.png,resume today . PRESIDENT KENNEDY today
h:/Desktop_Files/CSE472/Project/Dataset\lines\f07\f07-019b\f07-019b-01.png,unending procession of dishes from those
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-122u\a01-122u-10.png,carried on .
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-043x\a01-043x-01.png,today . PRESIDENT KENNEDY today defended
h:/Desktop_Files/CSE472/Project/Dataset\lines\f07\f07-019b\f07-019b-08.png,intelligent selection and comparative
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-050h\g06-050h-04.png,"a strong , energetic man with a gentle and charming"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g07\g07-014b\g07-014b-00.png,"I have taken an exact inventory of them . ' Thus on April 21st , several"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-047h\g06-047h-01.png,Burdett described to Anglesey a year or two later as
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-043u\a01-043u-07.png,be to see there is no racial discrimination
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-043x\a01-043x-06.png,will be to see there is no racial discrimination
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-047c\g06-047c-01.png,Burdett described to Anglesey a year or two
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-037c\g06-037c-07.png,None of the numerous conventional remedies to which
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-087f\c03-087f-02.png,to generate a melodramatic inevitability
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-063u\a01-063u-09.png,to America anyway .
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-047o\g06-047o-03.png,"upon earth than a human being ' , had"
h:/Desktop_Files/CSE472/Project/Dataset\lines\h07\h07-080a\h07-080a-09.png,become entitled to rent a house in the new town .
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-096d\c03-096d-07.png,"accents , they act oddly like the queer"
h:/Desktop_Files/CSE472/Project/Dataset\lines\h07\h07-051b\h07-051b-08.png,"scale needed "" to establish the character"
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-081b\c03-081b-07.png,"the longest and most exacting role , that of the"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-042i\g06-042i-01.png,"1960s , no cure has been found for the 6tic douloureux . As"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-031e\g06-031e-02.png,"for my country ! I may be mistaken , 1tho' I cannot"
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-077u\a01-077u-06.png,He said he was waiting for his senior
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-026b\g06-026b-04.png,of English . ' While he was writing
h:/Desktop_Files/CSE472/Project/Dataset\lines\h07\h07-044a\h07-044a-07.png,"drainage , main roads and other special"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-047c\g06-047c-06.png,"Neapolitan , Dr Giuseppe Mauro , whom Anglesey"
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-096b\c03-096b-06.png,"because of their odd accents , they act oddly"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-047r\g06-047r-01.png,Burdett described to Anglesey a year or two later as
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-018p\g06-018p-03.png,"he told Arthur , ' to find this place agree with me"
h:/Desktop_Files/CSE472/Project/Dataset\lines\h07\h07-063a\h07-063a-06.png,"tory at Harlow ) , the General Post Office and the Ministry of"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g07\g07-000b\g07-000b-07.png,"currence , while ' General Adam was at Corfu the whole"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-037d\g06-037d-04.png,new chapter in the history of Anglesey's unceasing
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-087f\c03-087f-06.png,or not the attempt succeeded if we had a
h:/Desktop_Files/CSE472/Project/Dataset\lines\f07\f07-019a\f07-019a-04.png,"the dishes of the country , and , instead of gorging the"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-011l\g06-011l-07.png,"soldier - a favourable change in my eye , particularly as"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-011f\g06-011f-07.png,the troops are very fine . '
h:/Desktop_Files/CSE472/Project/Dataset\lines\h07\h07-066a\h07-066a-00.png,"Local offices of the Ministry of Labour , Ministry of National"
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-084b\c03-084b-02.png,of Betti's writing without over-emphasizing
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-045a\g06-045a-05.png,himself was being treated under a doctor who
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-031j\g06-031j-06.png,"that the Commons House upon a dissolution ,"
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-087b\c03-087b-08.png,his characters .
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-049u\a01-049u-03.png,"Washington gossip "" that Weaver once had"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-031l\g06-031l-03.png,fear that the exasperation of the People will be so
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-047r\g06-047r-02.png,"' more like a God upon earth than a human being ' ,"
h:/Desktop_Files/CSE472/Project/Dataset\lines\f07\f07-042b\f07-042b-01.png,esteemed a delicacy . The visitor is told
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-030u\a01-030u-10.png,to sit round the conference table .
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-050j\g06-050j-08.png,he appears to despair of ever being
h:/Desktop_Files/CSE472/Project/Dataset\lines\f07\f07-081b\f07-081b-04.png,the same unfailing sense of proportion as exists among
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-021e\c03-021e-01.png,by an old man . Here it is a young homo-
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-007b\c03-007b-05.png,"head-stones in the churchyard , "" sacred to the"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-050r\g06-050r-02.png,so he described his distinguished patient and his
h:/Desktop_Files/CSE472/Project/Dataset\lines\h07\h07-069a\h07-069a-05.png,per cent in some towns before it begins to decline .
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-050d\g06-050d-00.png,Mauro's first action was to write to his revered
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-053u\a01-053u-04.png,saying the Federal Bureau of Investigation had
h:/Desktop_Files/CSE472/Project/Dataset\lines\h07\h07-060b\h07-060b-02.png,factory premises ) in the form of buildings specially
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-094c\c03-094c-01.png,"pushing , Miss Sheila Allen his wife , always palely"
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-084c\c03-084c-01.png,giving full value to the formal elements of Betti's
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-031b\g06-031b-00.png,' What a frightful event ! ' he wrote . ' I tremble !
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-058u\a01-058u-03.png,said bluntly in Washington yesterday that
h:/Desktop_Files/CSE472/Project/Dataset\lines\g07\g07-077a\g07-077a-05.png,support and comfort at the time ; but it
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-050i\g06-050i-03.png,"He told Hahnemann that he found Anglesey a strong ,"
h:/Desktop_Files/CSE472/Project/Dataset\lines\f07\f07-000b\f07-000b-04.png,music to which the Frenchman would not dance ;
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-011j\g06-011j-05.png,to be tired ; he is going out fast ... . What
h:/Desktop_Files/CSE472/Project/Dataset\lines\g07\g07-010b\g07-010b-02.png,destination had seemed slight . The collection of Pietro
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-003d\c03-003d-00.png,This is not a filmed play . It has been conceived
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-026l\g06-026l-00.png,A pleasant life truly ! ... It so happens that I have an
h:/Desktop_Files/CSE472/Project/Dataset\lines\k07\k07-059a\k07-059a-00.png,"He forgot time and place . He , the master , was gently"
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-038x\a01-038x-00.png,Mr. Macleod thought the two Rhodesian parties
h:/Desktop_Files/CSE472/Project/Dataset\lines\f07\f07-088a\f07-088a-01.png,the dietary welcomed by men of genius
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-042r\g06-042r-03.png,"himself to be on the point of death , the new"
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-020x\a01-020x-02.png,blown up . He has now revealed his full plans
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-081b\c03-081b-08.png,"sergeant , gives a performance of rare intelligence"
h:/Desktop_Files/CSE472/Project/Dataset\lines\f07\f07-076a\f07-076a-00.png,"The Czechoslovak kitchen , again , is"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g07\g07-010b\g07-010b-08.png,in my presence and that of certain Englishmen who are
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-014x\a01-014x-06.png,"to be demonstrations . "" Yesterday Sir Roy's"
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-021f\c03-021f-02.png,"sexual , estranged from women but yet"
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-016a\c03-016a-07.png,but half inquisitively . As is the case in Fanny
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-102u\a01-102u-05.png,needs an imaginative architect to improve
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-096e\c03-096e-03.png,the author in spite of the ineffectuality with
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-031p\g06-031p-04.png,"at the return of Ultratoryism , that the Commons"
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-053x\a01-053x-00.png,He said these concerned Mr. Weaver's alleged
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-011o\g06-011o-02.png,much as his health permitted him to enjoy any-
h:/Desktop_Files/CSE472/Project/Dataset\lines\f07\f07-032a\f07-032a-07.png,article in their festal preparations ; and it is the
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-047j\g06-047j-06.png,"of Europe . One of these was the Neapolitan ,"
h:/Desktop_Files/CSE472/Project/Dataset\lines\f07\f07-032b\f07-032b-08.png,essential article in their festal preparations ;
h:/Desktop_Files/CSE472/Project/Dataset\lines\h07\h07-025a\h07-025a-07.png,considered sufficient to allow for shoppers
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-128u\a01-128u-05.png,"service , on which indeed the Government is"
h:/Desktop_Files/CSE472/Project/Dataset\lines\h07\h07-075a\h07-075a-00.png,"As the Reith Committee foresaw , "" perfect synchro-"
h:/Desktop_Files/CSE472/Project/Dataset\lines\f07\f07-092a\f07-092a-04.png,in the dish in which it was served . He
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-087u\a01-087u-03.png,"outwardly unemotional , replied with a"
h:/Desktop_Files/CSE472/Project/Dataset\lines\f07\f07-019a\f07-019a-06.png,"intelligent selection and comparative simplicity , though"
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-000d\c03-000d-04.png,who is also part-author with Miss Delaney
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-081c\c03-081c-08.png,of rare intelligence and restrained power .
h:/Desktop_Files/CSE472/Project/Dataset\lines\f07\f07-042a\f07-042a-06.png,like a prairie oyster is considered a
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-050p\g06-050p-02.png,distinguished patient and his symptoms . He told Hahnemann
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-016e\c03-016e-07.png,"clumsily , but half shyly and half in-"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-037n\g06-037n-03.png,express took him off yesterday . '
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-082u\a01-082u-06.png,did his best to avoid giving Pressmen
h:/Desktop_Files/CSE472/Project/Dataset\lines\f07\f07-101b\f07-101b-00.png,"The same man went to see Carlyle , and , after mentioning"
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-094d\c03-094d-09.png,"in the case of Mr. Richards , with lavish"
h:/Desktop_Files/CSE472/Project/Dataset\lines\f07\f07-039b\f07-039b-00.png,"According to Pliny , and others , certain"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g07\g07-079a\g07-079a-05.png,"as the year of their wedding , 1815 , had"
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-016a\c03-016a-08.png,her first lover is a sailor who leaves her
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-018n\g06-018n-00.png,"When the sailing season was past ,"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-042c\g06-042c-03.png,Anglesey believed himself to be on the point of
h:/Desktop_Files/CSE472/Project/Dataset\lines\h07\h07-078a\h07-078a-06.png,"skilled labour , especially in the finishing trades ,"
h:/Desktop_Files/CSE472/Project/Dataset\lines\f07\f07-081b\f07-081b-02.png,and aesthetic as well as physical . There is the same finesse
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-094c\c03-094c-02.png,"appealing , Mr. James Maxwell , the editor , always"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-031p\g06-031p-00.png,' What a frightful event ! ' he wrote . ' I tremble ! What infa-
h:/Desktop_Files/CSE472/Project/Dataset\lines\k07\k07-063a\k07-063a-02.png,heart in the full throat . Her mouth did things he
h:/Desktop_Files/CSE472/Project/Dataset\lines\g07\g07-000a\g07-000a-05.png,HIS BODY TO RETURN TO ENGLAND THAN THAT
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-050k\g06-050k-00.png,Mauro's first action was to write to his revered
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-042i\g06-042i-00.png,"Nor is this to be wondered at , for even today , in the"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-018k\g06-018k-01.png,"back to England , and returned to Rome for the"
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-063x\a01-063x-08.png,States officials quickly point out that
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-042k\g06-042k-00.png,"Nor is this to be wondered at , for even today , in"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-050o\g06-050o-09.png,to despair of ever being cured . '
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-011g\g06-011g-03.png,"arrived , which is a great resource . Vesuvius seems to be"
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-003c\c03-003c-05.png,"film so vividly to life . In Fanny , which also"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-050o\g06-050o-00.png,Mauro's first action was to write to his re-
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-037c\g06-037c-02.png,"I understand , but an express took him"
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-038x\a01-038x-08.png,interference by Sir Roy's Federal Government in the talks .
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-050n\g06-050n-03.png,so he described his distinguished
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-082u\a01-082u-05.png,in nuclear development . President Kennedy
h:/Desktop_Files/CSE472/Project/Dataset\lines\f07\f07-101b\f07-101b-01.png,that he had dined with Longfellow told the sage a
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-094b\c03-094b-04.png,"events , and Mr. Aubrey Richards , the father-in-law ,"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-037c\g06-037c-09.png,first shown themselves seventeen years before had
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-096b\c03-096b-01.png,explicably from appreciable motives . The
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-081d\c03-081d-08.png,"exacting role , that of the sergeant , gives"
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-016d\c03-016d-07.png,but half shyly and half inquisitively . As
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-030u\a01-030u-06.png,decision remained with the British Government .
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-031e\g06-031e-05.png,"House upon a dissolution , which must be had , will be a"
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-063x\a01-063x-01.png,"level than in the past "" might be useful ."
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-081e\c03-081e-07.png,"Mr. Dinsdale Landen , in the longest and most"
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-020x\a01-020x-03.png,to the Africans and Liberals attending . These
h:/Desktop_Files/CSE472/Project/Dataset\lines\h07\h07-066b\h07-066b-04.png,populations the number of children reaching
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-113u\a01-113u-04.png,wretched - but it would not be too comfortable
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-038x\a01-038x-01.png,had refused to attend the talks because Sir Roy
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-018o\g06-018o-08.png,rature is high & I have not yet
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-037f\g06-037f-06.png,which he had been subjected ever since the symptoms had first
h:/Desktop_Files/CSE472/Project/Dataset\lines\h07\h07-066a\h07-066a-05.png,"total population , has been and still is below the"
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-021c\c03-021c-00.png,In Fanny the pregnant girl is befriended by an
h:/Desktop_Files/CSE472/Project/Dataset\lines\h07\h07-054a\h07-054a-02.png,"little interest in the new towns , probably because of"
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-096f\c03-096f-03.png,action by the author in spite of the
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-096f\c03-096f-05.png,them . One hopes that he is not asking us
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-011f\g06-011f-02.png,"him to enjoy anything . ' The Pearl ' , he wrote , ' is arrived , which is"
h:/Desktop_Files/CSE472/Project/Dataset\lines\f07\f07-081a\f07-081a-07.png,proportion as exists among her
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-031b\g06-031b-01.png,What infatuation ! Personally I am
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-026m\g06-026m-06.png,by the Duke of Wellington .
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-081d\c03-081d-07.png,"Dinsdale Landen , in the longest and most"
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-003a\c03-003a-00.png,This is not a filmed play . It has been
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-050j\g06-050j-06.png,"even-tempered and sedate , not easily"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-042b\g06-042b-04.png,"to be on the point of death , the new"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-026f\g06-026f-00.png,A pleasant life truly ! ... It so happens that I have an Italian
h:/Desktop_Files/CSE472/Project/Dataset\lines\g07\g07-003b\g07-003b-05.png,If Trelawny failed even to meet Lord Sidney and the British
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-045o\g06-045o-03.png,"to give the system a trial , adding that it"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-011r\g06-011r-01.png,He told Cloncurry that he enjoyed it as much as his
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-037r\g06-037r-08.png,shown themselves seventeen years before had had
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-003f\c03-003f-06.png,"Fanny , which also has its premiere tomorrow ,"
h:/Desktop_Files/CSE472/Project/Dataset\lines\g06\g06-045c\g06-045c-01.png,"the diplomatist Lord Ponsonby , had written to advise"
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-122u\a01-122u-05.png,"the pharmaceutical industry . "" The health"
h:/Desktop_Files/CSE472/Project/Dataset\lines\c03\c03-000a\c03-000a-00.png,The film version of Miss Shelagh Delaney's
h:/Desktop_Files/CSE472/Project/Dataset\lines\a01\a01-007x\a01-007x-05.png,two rival African Nationalist Parties of Northern
h:/Desktop_Files/CSE472/Project/Dataset\lines\h07\h07-063a\h07-063a-01.png,shops in some of the town centres for the small type of
